division,district,block,cluster,school,week,teachers_registered,baseline_assessments,baseline_average_level,tutoring_calls,endline_assessments,endline_average_level
Demo division,Demo district,Demo block,Demo cluster,Demo school,2025-02-10/2025-02-16,1,2,2.5,3,1,0.0
KALABURAGI,VIJAYANAGARA,HAGARIBOMMANAHALLI,HAMPASAGARA,G H P S HAMPA SAGARA-III,2025-02-10/2025-02-16,1,1,3.0,0,0,
KALABURAGI,VIJAYANAGARA,HAGARIBOMMANAHALLI,HAMPASAGARA,G H P S HAMPA SAGARA-III,2025-02-24/2025-03-02,1,3,1.0,8,3,3.0
KALABURAGI,YADAGIRI,SHORAPUR,RAJANKOLUR,G H P S KADADARAL,2025-02-10/2025-02-16,3,15,0.9333333333333333,22,9,2.7777777777777777
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,BAGEPALLI RURAL,G H P S KOTHAPALLI,2025-02-10/2025-02-16,1,3,1.3333333333333333,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,YALLAMPALLI,G H P S LAGUMADDEPALLI,2025-02-03/2025-02-09,1,3,2.0,3,3,2.0
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G H P S MALLASANDRA,2025-01-20/2025-01-26,1,1,1.0,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G H P S MALLASANDRA,2025-02-03/2025-02-09,1,1,1.0,1,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G H P S MALLASANDRA,2025-02-10/2025-02-16,1,1,0.0,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G H P S PEDDATHUMKEPALLI,2025-01-20/2025-01-26,1,4,0.25,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G H P S PEDDATHUMKEPALLI,2025-02-10/2025-02-16,1,3,1.3333333333333333,25,6,1.6666666666666667
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G L P S KADIRANNAGARIPALLI,2025-01-20/2025-01-26,1,1,1.0,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G L P S KADIRANNAGARIPALLI,2025-02-03/2025-02-09,1,1,1.0,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G L P S MUDDALAPALLI,2025-01-20/2025-01-26,2,2,1.5,2,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G L P S SADLAVARAPALLI,2025-01-20/2025-01-26,1,3,1.0,3,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,URDU,G U L P S RAHAMATHNAGARA BAGEPALLY,2025-02-03/2025-02-09,1,0,,2,0,
DHARWAD,GADAG,RON,RAJUR,G.H.P.S DINDUR,2025-02-10/2025-02-16,2,12,3.0833333333333335,0,0,
DHARWAD,GADAG,RON,RAJUR,G.H.P.S DINDUR,2025-02-17/2025-02-23,1,0,,0,0,
DHARWAD,DHARWAD,KALGHATAGI,TABAKADHONNALI,G.H.P.S MODEL CENTRAL TABAKADAHONNIHALLI,2025-02-10/2025-02-16,2,2,2.0,1,0,
DHARWAD,DHARWAD,KALGHATAGI,TABAKADHONNALI,G.H.P.S MODEL CENTRAL TABAKADAHONNIHALLI,2025-02-17/2025-02-23,1,0,,9,0,
DHARWAD,DHARWAD,KALGHATAGI,TABAKADHONNALI,G.H.P.S MODEL CENTRAL TABAKADAHONNIHALLI,2025-02-24/2025-03-02,2,4,2.25,1,7,1.4285714285714286
KALABURAGI,YADAGIRI,SHORAPUR,KODEKAL,G.L.P.S.Pyti Gudi Area Kodekal,2025-02-03/2025-02-09,4,5,1.4,12,7,2.857142857142857
KALABURAGI,YADAGIRI,SHORAPUR,KODEKAL,G.L.P.S.Pyti Gudi Area Kodekal,2025-02-10/2025-02-16,4,17,1.6470588235294117,83,1,0.0
KALABURAGI,YADAGIRI,SHORAPUR,KODEKAL,G.L.P.S.Pyti Gudi Area Kodekal,2025-02-17/2025-02-23,1,1,1.0,1,1,1.0
KALABURAGI,YADAGIRI,SHORAPUR,KODEKAL,G.L.P.S.Pyti Gudi Area Kodekal,2025-02-24/2025-03-02,2,2,1.0,10,4,4.0
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,G.URDU.L.P.SCHOOL TEKKALAKOTE,2025-02-17/2025-02-23,1,3,1.3333333333333333,12,3,4.0
KALABURAGI,RAICHUR,LINGASUGUR,GURAGUNTA,"G.URDU.LOWER PRIMARY SCHOOL, GURUGUNTA",2025-01-27/2025-02-02,1,1,2.0,2,0,
KALABURAGI,RAICHUR,LINGASUGUR,GURAGUNTA,"G.URDU.LOWER PRIMARY SCHOOL, GURUGUNTA",2025-02-10/2025-02-16,3,21,0.9047619047619048,63,19,2.789473684210526
KALABURAGI,BALLARI,BELLARY WEST,URDU BALLARI WEST,GGHPS URDU 19th WARD BLY,2025-02-24/2025-03-02,3,0,,5,0,
KALABURAGI,BALLARI,BELLARY WEST,URDU BALLARI WEST,GGHPS URDU 21ST WARD BANDIHATTI(W),2025-02-24/2025-03-02,3,6,1.6666666666666667,6,5,1.6
KALABURAGI,BALLARI,BELLARY WEST,URDU BALLARI WEST,GGHPS URDU 22ND WARD BANDHI HATTI(W),2025-02-24/2025-03-02,2,0,,1,8,4.0
KALABURAGI,BALLARI,BELLARY WEST,"WARD 8TH, KAMPLI",GGHPS URDU 3rd WARD KAMPLI,2025-02-24/2025-03-02,2,2,2.0,0,2,3.0
KALABURAGI,VIJAYANAGARA,HADAGALI,HUVINA HADAGALI(A),GGHPS URDU 5TH WARD HADAGALI,2025-02-17/2025-02-23,1,7,1.7142857142857142,0,3,1.6666666666666667
KALABURAGI,VIJAYANAGARA,HADAGALI,HUVINA HADAGALI(A),GGHPS URDU 5TH WARD HADAGALI,2025-02-24/2025-03-02,1,3,2.0,0,0,
KALABURAGI,VIJAYANAGARA,HOSPET,URDU HOSAPETE,GGHPS URDU 5TH WARD KAMALAPUR,2025-02-10/2025-02-16,1,10,1.2,0,10,2.0
KALABURAGI,VIJAYANAGARA,HOSPET,URDU HOSAPETE,GGHPS URDU 5TH WARD KAMALAPUR,2025-02-17/2025-02-23,1,0,,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGHPS URDU 5TH WARD SIRUGUPPA,2025-02-10/2025-02-16,2,3,1.0,9,0,
KALABURAGI,BALLARI,BELLARY WEST,"WARD 8TH, KAMPLI",GGHPS URDU 9th WARD KAMPLI,2025-02-24/2025-03-02,2,0,,4,0,
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGHPS URDU SANAVASAPUR,2025-02-10/2025-02-16,2,8,0.875,42,1,4.0
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGHPS URDU SANAVASAPUR,2025-02-17/2025-02-23,2,0,,2,1,1.0
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGHPS URDU SANAVASAPUR,2025-02-24/2025-03-02,2,0,,2,1,4.0
KALABURAGI,BALLARI,SANDUR,URDU SANDUR,GGHPS URDU SANDUR,2025-02-10/2025-02-16,1,2,2.5,1,0,
KALABURAGI,BALLARI,BELLARY WEST,URDU BALLARI WEST,GGLPS URDU 24th WARD BELLARY,2025-02-24/2025-03-02,2,0,,3,0,
KALABURAGI,VIJAYANAGARA,HADAGALI,HUVINA HADAGALI(A),GGLPS URDU 5TH WARD HADAGALI,2025-02-17/2025-02-23,1,0,,0,0,
KALABURAGI,VIJAYANAGARA,HADAGALI,HUVINA HADAGALI(A),GGLPS URDU 5TH WARD HADAGALI,2025-02-24/2025-03-02,1,9,1.8888888888888888,0,2,2.0
KALABURAGI,BALLARI,BELLARY EAST,URDU BALLARI EAST,GGLPS URDU ANDRAL,2025-02-17/2025-02-23,1,1,3.0,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,KENCHANAGUDDA,GGLPS URDU DEVALAPURA,2025-02-10/2025-02-16,1,2,3.0,2,0,
KALABURAGI,BALLARI,SIRUGUPPA,KENCHANAGUDDA,GGLPS URDU DEVALAPURA,2025-02-17/2025-02-23,1,0,,1,0,
KALABURAGI,BALLARI,SANDUR,URDU SANDUR,GGLPS URDU HOSA CHAPPARDA HALLI,2025-02-10/2025-02-16,1,3,0.6666666666666666,0,0,
KALABURAGI,BALLARI,SANDUR,URDU SANDUR,GGLPS URDU HOSA CHAPPARDA HALLI,2025-02-17/2025-02-23,2,3,1.0,3,5,3.8
KALABURAGI,BALLARI,SANDUR,URDU SANDUR,GGLPS URDU HOSA DAROJI,2025-02-17/2025-02-23,1,7,1.4285714285714286,5,6,3.6666666666666665
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGLPS URDU IBRAIMPURA,2025-02-10/2025-02-16,2,3,1.0,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGLPS URDU IBRAIMPURA,2025-02-17/2025-02-23,2,0,,9,2,4.0
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGLPS URDU IBRAIMPURA,2025-02-24/2025-03-02,1,0,,0,1,4.0
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGLPS URDU NADANGA,2025-02-10/2025-02-16,1,9,1.7777777777777777,5,0,
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGLPS URDU RARAVI,2025-02-10/2025-02-16,1,1,2.0,1,0,
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGLPS URDU RARAVI,2025-02-17/2025-02-23,1,2,1.0,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGLPS URDU SIRIGERI,2025-02-10/2025-02-16,2,0,,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGLPS URDU UTHANOOR,2025-02-10/2025-02-16,1,1,3.0,0,0,
KALABURAGI,RAICHUR,DEVADURGA,DEVADURGA CITY,GGMHIGHER PRIMARY SCHOOL DEVADURGA,2025-02-03/2025-02-09,1,3,3.0,1,0,
KALABURAGI,RAICHUR,DEVADURGA,DEVADURGA CITY,GGMHIGHER PRIMARY SCHOOL DEVADURGA,2025-02-10/2025-02-16,3,0,,9,0,
DHARWAD,HAVERI,SAVANUR,SAVANUR,GHP KANNAD GIRLS SCHOOL SAVANUR,2025-02-10/2025-02-16,1,1,1.0,0,0,
DHARWAD,HAVERI,SAVANUR,SAVANUR,GHP KANNAD GIRLS SCHOOL SAVANUR,2025-02-24/2025-03-02,1,2,1.0,0,1,3.0
DHARWAD,DHARWAD,KUNDAGOL,SAUNSHI,GHP KGS YAREBUDIHAL,2025-02-10/2025-02-16,2,10,1.2,0,0,
DHARWAD,GADAG,SHIRHATTI,BANNIKOPPA,GHPBS BANNIKOPPA,2025-02-17/2025-02-23,1,3,1.6666666666666667,3,2,4.0
BENGALURU,SHIVAMOGGA,SORAB,ANAVATTI,GHPGS ANAVATTI (GIRLS),2025-02-10/2025-02-16,1,4,1.25,7,0,
BENGALURU,SHIVAMOGGA,SORAB,ANAVATTI,GHPGS ANAVATTI (GIRLS),2025-02-17/2025-02-23,1,0,,4,0,
BENGALURU,SHIVAMOGGA,SORAB,ANAVATTI,GHPGS ANAVATTI (GIRLS),2025-02-24/2025-03-02,1,0,,3,0,
DHARWAD,GADAG,RON,BELAVANAKI,GHPGS BELAVANAKI,2025-02-10/2025-02-16,1,0,,0,0,
DHARWAD,GADAG,RON,NIDAGUNDI,GHPGS HALAKERE,2025-02-10/2025-02-16,2,0,,0,0,
DHARWAD,GADAG,GADAG RURAL,HARTI,GHPGS HARTI,2025-02-17/2025-02-23,3,8,2.75,0,0,
DHARWAD,GADAG,RON,HIREHAL,GHPGS HIREHAL,2025-02-03/2025-02-09,2,6,1.8333333333333333,2,1,4.0
DHARWAD,GADAG,RON,HIREHAL,GHPGS HIREHAL,2025-02-10/2025-02-16,4,2,2.0,10,0,
DHARWAD,GADAG,RON,HIREHAL,GHPGS HIREHAL,2025-02-17/2025-02-23,3,1,2.0,7,1,3.0
DHARWAD,GADAG,RON,HOLEALUR,GHPGS HOLEALUR,2025-02-10/2025-02-16,1,3,3.0,0,0,
DHARWAD,GADAG,GADAG RURAL,HOMBAL,GHPGS HOMBAL,2025-02-10/2025-02-16,4,20,1.65,30,5,2.8
DHARWAD,GADAG,GADAG RURAL,HOMBAL,GHPGS HOMBAL,2025-02-24/2025-03-02,1,3,1.3333333333333333,15,3,2.3333333333333335
DHARWAD,GADAG,RON,ABBIGERI,GHPGS JAKKALI,2025-02-10/2025-02-16,3,46,1.3043478260869565,0,0,
DHARWAD,GADAG,MUNDARAGI,KALAKERI,GHPGS KALAKERI,2025-02-10/2025-02-16,3,6,0.0,9,0,
DHARWAD,GADAG,NARAGUND,KONNUR,GHPGS KONNUR,2025-02-17/2025-02-23,2,4,0.25,8,0,
DHARWAD,GADAG,RON,HIREHAL,GHPGS MADALAGERI,2025-02-03/2025-02-09,5,17,2.0588235294117645,0,0,
DHARWAD,GADAG,SHIRHATTI,MAGADI,GHPGS MAGADI,2025-02-10/2025-02-16,1,0,,0,2,2.0
DHARWAD,GADAG,NARAGUND,NARAGUND 2,GHPGS NARAGUND,2025-02-10/2025-02-16,4,7,1.7142857142857142,18,4,4.0
DHARWAD,GADAG,RON,NAREGAL,GHPGS NAREGAL,2025-02-03/2025-02-09,1,5,0.6,0,0,
DHARWAD,GADAG,RON,NAREGAL,GHPGS NAREGAL,2025-02-10/2025-02-16,1,7,1.0,19,6,4.0
DHARWAD,GADAG,RON,NAREGAL,GHPGS NAREGAL,2025-02-17/2025-02-23,1,1,2.0,10,0,
DHARWAD,GADAG,RON,NIDAGUNDI,GHPGS NIDAGUNDI,2025-02-10/2025-02-16,2,6,2.5,3,3,4.0
DHARWAD,GADAG,RON,RON NORTH,GHPGS RON,2025-02-03/2025-02-09,1,6,1.3333333333333333,1,0,
DHARWAD,GADAG,RON,RON NORTH,GHPGS RON,2025-02-10/2025-02-16,2,2,2.5,2,1,3.0
DHARWAD,GADAG,RON,SAVADI,GHPGS SAVADI,2025-02-03/2025-02-09,3,3,1.6666666666666667,0,0,
DHARWAD,GADAG,RON,SAVADI,GHPGS SAVADI,2025-02-10/2025-02-16,4,10,2.3,0,0,
DHARWAD,GADAG,RON,SAVADI,GHPGS SAVADI,2025-02-17/2025-02-23,2,4,3.0,1,0,
DHARWAD,GADAG,RON,SAVADI,GHPGS SAVADI,2025-02-24/2025-03-02,1,2,2.0,0,0,
DHARWAD,GADAG,SHIRHATTI,SHIGLI,GHPGS SHIGLI,2025-02-10/2025-02-16,2,2,2.0,0,0,
DHARWAD,GADAG,NARAGUND,SHIROL,GHPGS SHIROL,2025-02-10/2025-02-16,3,8,1.25,0,0,
DHARWAD,GADAG,SHIRHATTI,MAGADI,GHPGS YALAVATTI,2025-02-10/2025-02-16,1,2,2.0,0,0,
DHARWAD,GADAG,GADAG RURAL,HARTI,GHPKBS HARTI,2025-02-17/2025-02-23,3,16,1.1875,0,0,
DHARWAD,GADAG,GADAG RURAL,ANTUR BENTUR,GHPKBS KURTAKOTI,2025-02-10/2025-02-16,2,2,2.5,0,0,
DHARWAD,GADAG,GADAG RURAL,ANTUR BENTUR,GHPKBS KURTAKOTI,2025-02-17/2025-02-23,2,4,1.25,2,0,
DHARWAD,GADAG,GADAG CITY,GADAG CITY NO 7,GHPKBS N0 18 GADAG RAMANAGAR GADAG,2025-02-10/2025-02-16,3,9,3.5555555555555554,0,0,
DHARWAD,GADAG,GADAG CITY,BETGERI NO 2,GHPKBS NO 2 BETAGERI,2025-02-10/2025-02-16,2,0,,0,9,4.0
DHARWAD,GADAG,GADAG CITY,CRC NO 5,GHPKBS NO 2 GADAG,2025-02-17/2025-02-23,3,9,1.6666666666666667,0,0,
DHARWAD,GADAG,GADAG CITY,GADAG CITY NO 7,GHPKBS NO 8 GADAG,2025-02-10/2025-02-16,1,1,2.0,0,0,
DHARWAD,GADAG,GADAG CITY,GADAG CITY NO 7,GHPKBS NO 8 GADAG,2025-02-17/2025-02-23,1,1,3.0,0,2,4.0
DHARWAD,GADAG,GADAG CITY,CRC NO 3,GHPKBS NO-19 BETAGERI,2025-02-10/2025-02-16,1,3,4.0,1,0,
DHARWAD,GADAG,GADAG CITY,CRC NO 3,GHPKBS NO-19 BETAGERI,2025-02-17/2025-02-23,1,0,,3,0,
DHARWAD,GADAG,GADAG CITY,CRC NO 3,GHPKBS NO-19 BETAGERI,2025-02-24/2025-03-02,1,0,,0,3,4.0
DHARWAD,GADAG,GADAG CITY,CRC NO 1 BETGERI,GHPKBS NO.3 BETAGERI,2025-02-10/2025-02-16,1,0,,0,4,4.0
DHARWAD,GADAG,GADAG CITY,CRC NO 1 BETGERI,GHPKBS NO.3 BETAGERI,2025-02-17/2025-02-23,2,2,1.5,1,0,
DHARWAD,GADAG,SHIRHATTI,MAGADI,GHPKBS YALAVATTI,2025-02-10/2025-02-16,1,1,4.0,3,2,3.0
DHARWAD,GADAG,SHIRHATTI,MAGADI,GHPKBS YALAVATTI,2025-02-24/2025-03-02,1,2,3.5,2,2,4.0
DHARWAD,GADAG,GADAG RURAL,HULKOTI,GHPKGS HULKOTI,2025-02-10/2025-02-16,2,3,1.3333333333333333,5,0,
DHARWAD,GADAG,GADAG RURAL,KOTUMACHAGI,GHPKGS KOTUMACHAGI,2025-02-10/2025-02-16,5,17,0.7647058823529411,9,0,
DHARWAD,GADAG,GADAG RURAL,ANTUR BENTUR,GHPKGS KURTAKOTI,2025-02-10/2025-02-16,5,19,1.8421052631578947,24,8,4.0
DHARWAD,GADAG,GADAG RURAL,ANTUR BENTUR,GHPKGS KURTAKOTI,2025-02-17/2025-02-23,2,4,3.75,0,1,4.0
DHARWAD,GADAG,GADAG RURAL,LAKKUNDI,GHPKGS LAKKUNDI,2025-02-10/2025-02-16,1,3,1.0,11,3,3.6666666666666665
DHARWAD,GADAG,GADAG RURAL,LAKKUNDI,GHPKGS LAKKUNDI,2025-02-17/2025-02-23,3,3,1.0,10,3,3.0
DHARWAD,GADAG,GADAG RURAL,HOMBAL,GHPKGS LINGADHAL,2025-02-10/2025-02-16,3,2,2.0,5,5,4.0
DHARWAD,GADAG,GADAG CITY,CRC NO 5,GHPKGS NO 2 GADAG,2025-02-10/2025-02-16,2,15,1.0,1,0,
DHARWAD,GADAG,GADAG CITY,CRC NO 5,GHPKGS NO 2 GADAG,2025-02-17/2025-02-23,1,3,1.0,0,0,
DHARWAD,GADAG,GADAG CITY,BETGERI NO 2,GHPKGS NO 5 BETAGERI,2025-02-10/2025-02-16,1,2,2.5,0,2,3.0
DHARWAD,GADAG,GADAG CITY,GADAG CITY NO 7,GHPKGS NO 5 GADAG,2025-02-10/2025-02-16,1,2,2.5,2,2,4.0
DHARWAD,GADAG,GADAG CITY,GADAG CITY NO 7,GHPKGS NO 5 GADAG,2025-02-17/2025-02-23,1,5,2.0,4,4,4.0
DHARWAD,GADAG,GADAG CITY,CRC NO 1 BETGERI,GHPKGS NO.3 BETAGERI,2025-02-17/2025-02-23,1,0,,3,0,
DHARWAD,GADAG,GADAG CITY,CRC NO 1 BETGERI,GHPKGS NO.3 BETAGERI,2025-02-24/2025-03-02,1,1,3.0,0,2,4.0
DHARWAD,GADAG,MUNDARAGI,PETALUR,GHPKGS SHIRUR,2025-02-17/2025-02-23,4,7,2.0,5,0,
DHARWAD,GADAG,GADAG RURAL,SORATUR,GHPKGS SORATUR,2025-02-10/2025-02-16,3,13,2.4615384615384617,5,3,3.3333333333333335
KALABURAGI,BALLARI,SIRUGUPPA,U HOSALLI,GHPS & GHS ARALIGANUR,2025-02-10/2025-02-16,2,7,1.0,14,7,4.0
KALABURAGI,BALLARI,BELLARY WEST,GENIKEHAL,GHPS & GHS BADANAHATTI,2025-02-10/2025-02-16,3,8,0.375,0,0,
KALABURAGI,BALLARI,SANDUR,THARANAGARA,GHPS & GHS BANNIHATTI,2025-02-10/2025-02-16,6,37,1.9189189189189189,92,29,3.0
KALABURAGI,BALLARI,SANDUR,THARANAGARA,GHPS & GHS BANNIHATTI,2025-02-17/2025-02-23,2,3,0.6666666666666666,13,4,3.0
KALABURAGI,BALLARI,BELLARY EAST,BANAPURA,GHPS & GHS BENAKALLU,2025-02-10/2025-02-16,4,6,1.0,4,0,
KALABURAGI,BALLARI,SIRUGUPPA,DARUR,GHPS & GHS BHYRAPURA,2025-02-10/2025-02-16,3,3,1.3333333333333333,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,DARUR,GHPS & GHS BHYRAPURA,2025-02-17/2025-02-23,3,10,1.1,0,8,4.0
KALABURAGI,BALLARI,BELLARY EAST,SIRIVARA,GHPS & GHS CHAGANUR,2025-02-03/2025-02-09,1,2,2.0,0,0,
KALABURAGI,BALLARI,BELLARY EAST,SIRIVARA,GHPS & GHS CHAGANUR,2025-02-10/2025-02-16,3,8,2.125,20,17,3.7058823529411766
KALABURAGI,VIJAYANAGARA,HAGARIBOMMANAHALLI,NANDIPURA,GHPS & GHS CHILAGODU,2025-02-10/2025-02-16,5,19,1.9473684210526316,8,8,3.875
KALABURAGI,VIJAYANAGARA,KUDLIGI,CHIRIBI,GHPS & GHS CHIRABI,2025-02-24/2025-03-02,1,2,4.0,0,1,4.0
KALABURAGI,VIJAYANAGARA,HOSPET,HANUMANAHALLI,GHPS & GHS DANAPURA,2025-02-17/2025-02-23,7,10,2.3,8,6,3.0
KALABURAGI,VIJAYANAGARA,HOSPET,MARIYAMMANA HALLI,GHPS & GHS GUNDA,2025-02-17/2025-02-23,1,9,1.0,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,TALUR,GHPS & GHS HAGALUR HOSALLI,2025-02-10/2025-02-16,1,16,1.5,0,1,4.0
KALABURAGI,BALLARI,SIRUGUPPA,TALUR,GHPS & GHS HAGALUR HOSALLI,2025-02-24/2025-03-02,2,2,1.0,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,KENCHANAGUDDA,GHPS & GHS HERKAL,2025-02-10/2025-02-16,3,2,2.0,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,KENCHANAGUDDA,GHPS & GHS HERKAL,2025-02-17/2025-02-23,3,13,2.076923076923077,4,3,3.0
KALABURAGI,BALLARI,SIRUGUPPA,KENCHANAGUDDA,GHPS & GHS HERKAL,2025-02-24/2025-03-02,1,2,2.0,2,2,2.5
KALABURAGI,BALLARI,SANDUR,BANDRI,GHPS & GHS HIREKEREYAGINA HALLI,2025-02-24/2025-03-02,3,11,2.272727272727273,10,11,2.8181818181818183
KALABURAGI,VIJAYANAGARA,HOSPET,PAPINAYAKANA HALL,GHPS & GHS KAKUBAL,2025-02-10/2025-02-16,6,15,2.2,3,17,3.235294117647059
KALABURAGI,VIJAYANAGARA,HOSPET,KARIGANUR,GHPS & GHS KARIGANUR,2025-02-03/2025-02-09,1,2,2.0,2,2,2.5
KALABURAGI,VIJAYANAGARA,HOSPET,KARIGANUR,GHPS & GHS KARIGANUR,2025-02-10/2025-02-16,2,7,2.5714285714285716,4,3,3.3333333333333335
KALABURAGI,BALLARI,BELLARY WEST,KOLURU,GHPS & GHS KOLUR,2025-02-10/2025-02-16,2,8,1.875,1,0,
KALABURAGI,BALLARI,BELLARY WEST,KOLURU,GHPS & GHS KOLUR,2025-02-17/2025-02-23,1,2,1.0,0,0,
KALABURAGI,BALLARI,BELLARY WEST,KOLURU,GHPS & GHS KOLUR,2025-02-24/2025-03-02,2,3,1.0,3,0,
KALABURAGI,BALLARI,SIRUGUPPA,KUDARHAL,GHPS & GHS KUDADHARAHAL,2025-02-03/2025-02-09,1,0,,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,KUDARHAL,GHPS & GHS KUDADHARAHAL,2025-02-10/2025-02-16,2,10,1.9,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,KUDARHAL,GHPS & GHS KUDADHARAHAL,2025-02-24/2025-03-02,4,4,2.75,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,TALUR,GHPS & GHS MOTA SUGUR,2025-02-03/2025-02-09,1,6,2.5,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,TALUR,GHPS & GHS MOTA SUGUR,2025-02-10/2025-02-16,1,9,1.5555555555555556,0,0,
KALABURAGI,BALLARI,SANDUR,BANDRI,GHPS & GHS NIDAGURTHI,2025-01-27/2025-02-02,2,2,1.0,0,0,
KALABURAGI,BALLARI,SANDUR,BANDRI,GHPS & GHS NIDAGURTHI,2025-02-03/2025-02-09,1,0,,0,0,
KALABURAGI,VIJAYANAGARA,HAGARIBOMMANAHALLI,MARABBIHAL,GHPS & GHS PINJAR HEGDAL,2025-02-17/2025-02-23,4,17,0.6470588235294118,56,14,3.2857142857142856
KALABURAGI,VIJAYANAGARA,HAGARIBOMMANAHALLI,MARABBIHAL,GHPS & GHS PINJAR HEGDAL,2025-02-24/2025-03-02,1,3,1.0,19,5,0.6
KALABURAGI,VIJAYANAGARA,HOSPET,CHILAKANA HATTI,GHPS & GHS POTHALAKATTI,2025-02-10/2025-02-16,2,20,1.9,54,10,3.6
KALABURAGI,VIJAYANAGARA,HOSPET,CHILAKANA HATTI,GHPS & GHS POTHALAKATTI,2025-02-17/2025-02-23,1,6,1.0,24,6,2.6666666666666665
KALABURAGI,VIJAYANAGARA,HOSPET,CHILAKANA HATTI,GHPS & GHS POTHALAKATTI,2025-02-24/2025-03-02,1,3,2.0,3,1,4.0
KALABURAGI,BALLARI,BELLARY EAST,DAMMUR,GHPS & GHS SINDHIGERI,2025-02-17/2025-02-23,1,0,,0,0,
KALABURAGI,BALLARI,BELLARY EAST,DAMMUR,GHPS & GHS SINDHIGERI,2025-02-24/2025-03-02,2,12,3.25,12,0,
KALABURAGI,BALLARI,BELLARY EAST,MOKA,GHPS & GHS SINDHUVALA,2025-02-10/2025-02-16,5,17,2.5294117647058822,14,5,4.0
KALABURAGI,BALLARI,BELLARY EAST,MOKA,GHPS & GHS SINDHUVALA,2025-02-24/2025-03-02,3,2,1.5,0,4,2.5
KALABURAGI,VIJAYANAGARA,KUDLIGI,"KUDLIGI, FOR GIRLS",GHPS & GHS SIVAPURA,2025-02-03/2025-02-09,1,1,2.0,0,0,
KALABURAGI,VIJAYANAGARA,KUDLIGI,"KUDLIGI, FOR GIRLS",GHPS & GHS SIVAPURA,2025-02-17/2025-02-23,3,42,2.0238095238095237,26,1,3.0
KALABURAGI,VIJAYANAGARA,HADAGALI,NAGATHI BASAPURA,GHPS & GHS UPANAYAKANA HALLI (HADAGALI),2025-02-24/2025-03-02,2,3,4.0,3,0,
KALABURAGI,BALLARI,BELLARY WEST,KOLURU,GHPS & GHS VADDATTI,2025-02-10/2025-02-16,3,15,2.066666666666667,11,10,2.1
KALABURAGI,BALLARI,BELLARY WEST,KOLURU,GHPS & GHS VADDATTI,2025-02-17/2025-02-23,2,6,3.0,5,5,3.0
KALABURAGI,BALLARI,BELLARY WEST,KOLURU,GHPS & GHS VADDATTI,2025-02-24/2025-03-02,1,5,3.2,4,5,3.2
KALABURAGI,BALLARI,SANDUR,THARANAGARA,GHPS & GHS VADDU,2025-02-10/2025-02-16,3,0,,8,0,
KALABURAGI,BALLARI,SANDUR,THARANAGARA,GHPS & GHS VADDU,2025-02-24/2025-03-02,1,0,,3,0,
KALABURAGI,BALLARI,BELLARY WEST,SIDDAMMAN HALLI,GHPS & GHS YELUBENCHI,2025-02-10/2025-02-16,3,0,,12,0,
