division,district,block,cluster,school,week,teachers_registered,baseline_assessments,baseline_average_level,tutoring_calls,endline_assessments,endline_average_level
KALABURAGI,KALBURGI,GULBARGA NORTH,DONGARGAON,GOVT HPS DOHRJAMGA,2025-02-10/2025-02-16,1,3,0.6666666666666666,12,3,3.0
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,BOMMANAHALLII,GOVT HPS DOMANAL,2025-02-10/2025-02-16,3,3,1.3333333333333333,1,0,
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,BOMMANAHALLII,GOVT HPS DOMANAL,2025-02-17/2025-02-23,2,10,2.0,41,9,3.4444444444444446
KALABURAGI,BIDAR,AURAD,BHANDAR KUMTA,GOVT HPS DONGARGAON,2025-02-10/2025-02-16,2,2,2.0,3,0,
KALABURAGI,BIDAR,AURAD,BHANDAR KUMTA,GOVT HPS DONGARGAON,2025-02-17/2025-02-23,1,1,1.0,5,1,4.0
KALABURAGI,KALBURGI,CHINCHOLI,KANAKAPUR,GOVT HPS DOTIKOLA,2025-02-10/2025-02-16,2,0,,0,0,
KALABURAGI,KALBURGI,CHINCHOLI,KANAKAPUR,GOVT HPS DOTIKOLA,2025-02-24/2025-03-02,2,2,2.5,2,0,
KALABURAGI,BIDAR,HUMNABAD,DUBALGUNDI,GOVT HPS DUBLGUNDI (W),2025-02-24/2025-03-02,1,3,2.3333333333333335,1,0,
KALABURAGI,BIDAR,AURAD,KOUDGOAN,GOVT HPS DUPATHMAHAGAON,2025-02-10/2025-02-16,1,1,2.0,0,0,
KALABURAGI,BIDAR,AURAD,KOUDGOAN,GOVT HPS DUPATHMAHAGAON,2025-02-17/2025-02-23,1,13,2.076923076923077,28,24,3.875
KALABURAGI,YADAGIRI,YADGIR,KADECHUR,GOVT HPS DUPPALLI,2025-02-10/2025-02-16,1,1,1.0,0,0,
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,ALIYABAD,GOVT HPS DYABERI,2025-02-03/2025-02-09,4,17,1.7647058823529411,39,15,3.6
